team,conference,sos,osrs,dsrs,srs,year
IUPUI,Mid-Cont,-3.13,-10.7,0.71,-9.99,2000
Drexel,AEC,-7.12,-9.98,-0.04,-10.02,2000
Nicholls State,Southland,-4.5,-10.12,0.08,-10.04,2000
Quinnipiac,NEC,-9.2,-0.18,-9.91,-10.09,2000
Monmouth,NEC,-7.51,-15.03,4.74,-10.29,2000
Towson,AEC,-9.1,-7.06,-3.32,-10.38,2000
South Carolina State,MEAC,-9.38,-4.96,-5.45,-10.41,2000
Western Carolina,Southern (North),-4.94,3.49,-13.91,-10.42,2000
Chicago State,Mid-Cont,-3.04,-5.69,-4.95,-10.64,2000
Coppin State,MEAC,-9.36,-7.86,-2.81,-10.66,2000
Mercer,TAAC,-5.77,-6.69,-4.15,-10.84,2000
North Texas,Big West (East),2.07,7.09,-17.95,-10.85,2000
Jacksonville,TAAC,-7.95,-3.1,-7.85,-10.95,2000
Belmont,Ind,-1.39,-3.22,-7.76,-10.98,2000
Colgate,Patriot,-7.85,-10.57,-0.65,-11.22,2000
Holy Cross,Patriot,-7.96,-13.15,1.8,-11.35,2000
UNC Asheville,Big South,-3.66,-3.23,-8.3,-11.53,2000
Saint Francis (PA),NEC,-8.14,-9.6,-2.08,-11.68,2000
Coastal Carolina,Big South,-6.64,-2.52,-9.2,-11.71,2000
Columbia,Ivy,-8.25,-14.6,2.81,-11.79,2000
North Carolina A&T,MEAC,-12.15,-1.89,-9.98,-11.86,2000
Stetson,TAAC,-8.23,-6.04,-5.9,-11.94,2000
Elon,Big South,-6.37,-1.64,-10.33,-11.97,2000
Little Rock,Sun Belt,-2.78,-3.63,-8.54,-12.17,2000
Denver,Sun Belt,-1.14,-3.99,-8.19,-12.18,2000
Jackson State,SWAC,-10.38,-10.77,-1.42,-12.19,2000
Liberty,Big South,-8.41,-6.75,-5.49,-12.24,2000
Alabama A&M,SWAC,-12.07,-4.86,-7.41,-12.27,2000
Texas Southern,SWAC,-13.44,-6.89,-5.75,-12.64,2000
Harvard,Ivy,-9.75,-6.95,-5.81,-12.75,2000
Stephen F. Austin,Southland,-4.97,-5.26,-7.55,-12.81,2000
Southeastern Louisiana,Southland,-5.16,-14.59,1.59,-13.0,2000
Campbell,TAAC,-6.08,-9.98,-3.21,-13.19,2000
Tennessee State,OVC,-2.24,-4.55,-9.17,-13.72,2000
Cornell,Ivy,-9.13,-7.92,-6.02,-13.94,2000
Buffalo,MAC (East),1.46,-3.97,-10.03,-14.0,2000
Southern,SWAC,-14.41,-3.06,-11.2,-14.26,2000
Boston University,AEC,-6.51,-12.82,-1.45,-14.27,2000
Saint Peter's,MAAC,-5.31,-4.71,-9.6,-14.31,2000
Eastern Kentucky,OVC,-1.71,-5.15,-9.28,-14.43,2000
Northeastern,AEC,-8.41,-8.18,-6.26,-14.45,2000
Hartford,AEC,-7.42,-2.64,-11.89,-14.53,2000
Dartmouth,Ivy,-8.49,-7.52,-7.21,-14.72,2000
VMI,Southern (North),-2.7,-5.28,-9.62,-14.9,2000
Mount St. Mary's,NEC,-6.18,-6.45,-8.56,-15.01,2000
McNeese State,Southland,-4.43,-5.14,-9.99,-15.13,2000
Brown,Ivy,-8.95,-3.17,-11.97,-15.14,2000
High Point,Big South,-6.07,-8.09,-7.26,-15.35,2000
Lehigh,Patriot,-6.25,-8.31,-7.08,-15.4,2000
Loyola (MD),MAAC,-5.94,-9.6,-5.83,-15.44,2000
Albany (NY),Ind,-9.59,-10.81,-4.7,-15.51,2000
The Citadel,Southern (South),-5.67,-10.17,-5.38,-15.55,2000
Yale,Ivy,-8.47,-13.68,-2.05,-15.73,2000
Norfolk State,MEAC,-11.37,0.27,-16.47,-16.2,2000
Long Island University,NEC,-7.94,-10.31,-6.09,-16.4,2000
Loyola Marymount,WCC,3.24,-5.78,-10.64,-16.42,2000
Alabama State,SWAC,-12.35,-13.02,-3.53,-16.56,2000
Mississippi Valley State,SWAC,-8.5,-5.09,-11.52,-16.61,2000
Stony Brook,Ind,-2.38,-15.5,-1.69,-17.19,2000
Maryland-Eastern Shore,MEAC,-10.89,-10.23,-7.42,-17.65,2000
Delaware State,MEAC,-11.25,-14.19,-3.53,-17.72,2000
Charleston Southern,Big South,-7.1,-9.94,-8.73,-18.67,2000
Army,Patriot,-6.43,-19.7,-0.19,-19.89,2000
Florida A&M,MEAC,-9.43,-11.11,-9.32,-20.43,2000
Morgan State,MEAC,-8.97,-10.42,-11.14,-21.56,2000
Prairie View,SWAC,-11.13,-2.15,-19.91,-22.06,2000
Sacred Heart,NEC,-6.77,-7.53,-15.71,-23.24,2000
Florida Atlantic,TAAC,-3.26,-11.52,-11.81,-23.33,2000
Arkansas-Pine Bluff,SWAC,-10.04,-11.18,-13.1,-24.28,2000
New Hampshire,AEC,-6.09,-8.24,-17.24,-25.48,2000
Howard,MEAC,-6.65,-8.65,-17.54,-26.19,2000
Grambling,SWAC,-9.16,-4.66,-23.25,-27.91,2000
Duke,ACC,11.98,24.47,7.72,32.18,2001
Arizona,Pac-10,12.56,15.68,11.17,26.85,2001
Stanford,Pac-10,9.86,15.27,10.5,25.77,2001
Michigan State,Big Ten,9.54,11.25,13.87,25.12,2001
Maryland,ACC,11.0,18.04,5.79,23.83,2001
Illinois,Big Ten,11.38,11.95,11.37,23.32,2001
Florida,SEC (East),7.55,13.41,7.95,21.36,2001
Wake Forest,ACC,10.5,9.36,11.17,20.53,2001
Kentucky,SEC (East),11.12,13.9,6.42,20.32,2001
Kansas,Big 12,9.04,14.69,5.54,20.23,2001
North Carolina,ACC,11.77,12.84,7.12,19.95,2001
Virginia,ACC,8.73,16.17,2.77,18.93,2001
Boston College,Big East (East),5.19,10.71,7.28,17.99,2001
Indiana,Big Ten,11.05,5.87,11.71,17.58,2001
Arkansas,SEC (West),6.15,11.07,6.18,17.25,2001
UCLA,Pac-10,12.07,13.69,3.44,17.13,2001
Southern California,Pac-10,10.84,11.0,5.53,16.54,2001
Temple,A-10,9.77,3.63,12.57,16.2,2001
Cincinnati,CUSA (American),7.85,6.57,9.62,16.19,2001
Iowa State,Big 12,4.87,9.99,5.91,15.9,2001
Ohio State,Big Ten,8.16,5.31,10.36,15.68,2001
Fresno State,WAC,5.13,13.08,2.56,15.65,2001
Oklahoma,Big 12,5.5,5.73,9.83,15.56,2001
Tennessee,SEC (East),10.32,14.6,0.93,15.54,2001
Mississippi,SEC (West),9.24,2.84,12.26,15.1,2001
Wisconsin,Big Ten,12.08,-5.24,20.14,14.91,2001
California,Pac-10,9.09,7.43,7.34,14.77,2001
Purdue,Big Ten,9.24,8.95,5.76,14.71,2001
Georgia Tech,ACC,11.79,7.81,6.71,14.52,2001
Notre Dame,Big East (West),5.69,10.3,4.05,14.36,2001
Iowa,Big Ten,10.71,9.44,4.81,14.25,2001
Texas,Big 12,8.89,3.82,10.44,14.25,2001
Charlotte,CUSA (American),7.91,11.63,2.62,14.24,2001
Alabama,SEC (West),6.29,8.72,5.32,14.04,2001
Providence,Big East (East),5.44,6.75,7.0,13.74,2001
Tulsa,WAC,5.1,7.24,6.0,13.24,2001
Memphis,CUSA (National),7.11,7.92,5.31,13.22,2001
Mississippi State,SEC (West),8.76,8.15,4.9,13.05,2001
Saint Joseph's,A-10,4.46,10.62,2.11,12.73,2001
Georgia,SEC (East),12.75,6.9,5.82,12.72,2001
Gonzaga,WCC,0.32,12.17,0.4,12.57,2001
Butler,MW Coll,3.98,1.17,11.38,12.55,2001
Penn State,Big Ten,10.55,13.03,-0.61,12.43,2001
Creighton,MVC,3.01,3.67,8.74,12.41,2001
NC State,ACC,10.81,5.06,7.29,12.36,2001
Xavier,A-10,4.6,5.56,6.59,12.15,2001
Georgetown,Big East (West),1.58,7.02,5.04,12.06,2001
TCU,WAC,1.74,22.39,-10.56,11.84,2001
Auburn,SEC (West),7.16,9.22,2.29,11.51,2001
Syracuse,Big East (West),5.82,4.83,6.32,11.15,2001
Colorado,Big 12,5.66,13.08,-1.97,11.11,2001
Arizona State,Pac-10,9.0,6.37,4.73,11.1,2001
Southern Mississippi,CUSA (National),4.52,0.17,10.82,10.99,2001
Brigham Young,MWC,3.48,2.3,8.65,10.95,2001
Oklahoma State,Big 12,4.73,2.43,8.4,10.83,2001
Louisiana State,SEC (West),7.66,3.38,7.39,10.76,2001
Missouri,Big 12,9.2,7.85,2.91,10.76,2001
South Florida,CUSA (National),5.49,5.8,4.69,10.49,2001
Utah,MWC,6.15,2.45,7.85,10.3,2001
Connecticut,Big East (East),5.43,4.62,5.56,10.17,2001
South Carolina,SEC (East),9.06,0.34,9.72,10.06,2001
Saint Louis,CUSA (American),5.91,2.03,8.0,10.03,2001
Utah State,Big West,-1.48,-1.32,11.31,9.99,2001
Pepperdine,WCC,1.78,5.98,3.77,9.74,2001
Dayton,A-10,6.12,3.39,6.32,9.71,2001
Minnesota,Big Ten,9.47,7.25,2.19,9.44,2001
Richmond,CAA,-0.1,0.24,8.84,9.08,2001
St. John's (NY),Big East (East),8.27,5.72,3.31,9.03,2001
Wyoming,MWC,3.87,9.55,-0.61,8.94,2001
Oregon,Pac-10,7.91,10.92,-2.2,8.73,2001
Kent State,MAC (East),1.44,0.34,8.34,8.69,2001
Western Kentucky,Sun Belt (East),-1.63,1.41,7.28,8.69,2001
Vanderbilt,SEC (East),8.97,3.56,5.1,8.66,2001
George Washington,A-10,6.3,8.92,-0.55,8.37,2001
Villanova,Big East (East),6.46,8.86,-0.7,8.17,2001
Nebraska,Big 12,7.28,3.43,4.51,7.94,2001
Massachusetts,A-10,8.05,0.75,7.13,7.88,2001
Detroit Mercy,MW Coll,2.44,0.59,7.24,7.83,2001
Southern Methodist,WAC,3.93,5.17,2.62,7.79,2001
UTEP,WAC,3.01,8.42,-0.63,7.78,2001
St. Bonaventure,A-10,4.54,5.13,2.61,7.74,2001
Miami (FL),Big East (East),4.92,0.91,6.63,7.54,2001
Baylor,Big 12,2.56,0.43,6.96,7.39,2001
Pittsburgh,Big East (West),5.19,-1.03,8.41,7.38,2001
Toledo,MAC (West),1.44,2.82,4.2,7.01,2001
Indiana State,MVC,2.51,4.56,2.41,6.97,2001
New Mexico,MWC,5.27,1.64,5.33,6.97,2001
Hawaii,WAC,7.23,3.62,3.26,6.88,2001
Marquette,CUSA (American),6.62,-1.99,8.78,6.79,2001
UAB,CUSA (National),4.08,2.56,4.07,6.63,2001
Seton Hall,Big East (West),6.03,5.87,0.61,6.48,2001
Illinois State,MVC,0.57,5.35,0.62,5.97,2001
Cal State Northridge,Big Sky,0.25,10.38,-4.43,5.95,2001
Colorado State,MWC,2.35,-2.0,7.5,5.51,2001
Marshall,MAC (East),0.81,4.88,0.61,5.49,2001
DePaul,CUSA (American),8.02,3.7,1.64,5.34,2001
Georgia State,TAAC,-3.72,6.59,-1.34,5.25,2001
George Mason,CAA,-0.35,1.84,3.28,5.12,2001
Hofstra,AEC,-5.47,-2.55,7.66,5.12,2001
Ohio,MAC (East),1.51,5.1,-0.32,4.78,2001
Rutgers,Big East (West),5.24,-2.58,7.33,4.75,2001
Miami (OH),MAC (East),2.54,-8.61,13.24,4.63,2001
Nevada-Las Vegas,MWC,5.05,7.61,-3.0,4.61,2001
Oregon State,Pac-10,8.81,-6.57,11.06,4.49,2001
San Diego,WCC,0.28,-1.29,5.78,4.49,2001
San Jose State,WAC,5.54,-4.98,9.22,4.24,2001
Kansas State,Big 12,8.41,-4.52,8.48,3.96,2001
Washington State,Pac-10,7.04,-1.27,4.92,3.65,2001
West Virginia,Big East (West),3.96,4.68,-1.23,3.46,2001
Northwestern,Big Ten,7.89,-7.86,11.25,3.39,2001
Valparaiso,Mid-Cont,-2.79,-2.33,5.72,3.39,2001
Michigan,Big Ten,11.39,4.3,-1.1,3.21,2001
Florida State,ACC,11.0,1.76,1.44,3.2,2001
Bradley,MVC,1.75,-3.5,6.66,3.15,2001
Ball State,MAC (West),0.3,-0.21,3.33,3.12,2001
Southern Utah,Mid-Cont,-3.42,-0.86,3.88,3.01,2001
Santa Clara,WCC,2.84,0.74,2.16,2.91,2001
Milwaukee,MW Coll,2.16,-0.2,3.05,2.85,2001
Louisville,CUSA (American),8.67,2.48,0.36,2.83,2001
Clemson,ACC,8.31,6.4,-3.67,2.73,2001
UNC Wilmington,CAA,-0.57,-8.25,10.71,2.46,2001
Southern Illinois,MVC,2.29,4.2,-1.85,2.36,2001
Rice,WAC,3.69,-7.43,9.75,2.31,2001
La Salle,A-10,4.79,0.05,2.22,2.27,2001
San Diego State,MWC,2.72,-1.57,3.83,2.26,2001
UC Irvine,Big West,-2.58,-3.92,6.04,2.13,2001
Cleveland State,MW Coll,1.56,-0.76,2.82,2.06,2001
Bowling Green State,MAC (East),1.4,4.64,-2.65,1.99,2001
Delaware,AEC,-6.03,1.17,0.73,1.9,2001
South Alabama,Sun Belt (West),-0.9,-2.41,4.22,1.81,2001
College of Charleston,Southern (South),-4.56,-7.03,8.65,1.62,2001
Wright State,MW Coll,-1.11,-0.26,1.65,1.39,2001
New Mexico State,Sun Belt (West),-2.56,0.86,0.43,1.29,2001
Eastern Illinois,OVC,-2.45,8.34,-7.34,0.99,2001
Central Michigan,MAC (West),0.01,0.28,0.7,0.98,2001
Drake,MVC,-0.21,0.13,0.69,0.83,2001
Nevada,WAC,4.08,0.43,0.31,0.74,2001
Siena,MAAC,-3.28,3.72,-3.07,0.66,2001
Pacific,Big West,-1.07,-4.38,5.01,0.64,2001
Missouri State,MVC,2.2,-5.01,5.62,0.61,2001
Louisiana,Sun Belt (West),-0.44,5.17,-4.58,0.59,2001
Fordham,A-10,5.33,5.42,-4.89,0.53,2001
Iona,MAAC,-4.1,4.53,-4.28,0.25,2001
Virginia Commonwealth,CAA,-0.27,3.27,-3.13,0.15,2001
Texas Tech,Big 12,5.49,-0.47,0.58,0.12,2001
Eastern Washington,Big Sky,-0.75,-2.57,2.62,0.05,2001
Illinois-Chicago,MW Coll,3.55,-0.31,0.25,-0.06,2001
Washington,Pac-10,10.11,1.32,-1.37,-0.06,2001
Old Dominion,CAA,1.23,-1.35,1.27,-0.08,2001
Austin Peay,OVC,-3.28,3.46,-3.64,-0.18,2001
Holy Cross,Patriot,-5.84,-7.05,6.74,-0.31,2001
Tennessee Tech,OVC,-3.38,1.75,-2.36,-0.61,2001
Boise State,Big West,-0.21,0.58,-1.26,-0.69,2001
Little Rock,Sun Belt (East),-3.63,-2.56,1.76,-0.79,2001
Manhattan,MAAC,-3.9,-2.04,1.21,-0.83,2001
Montana State,Big Sky,-2.92,0.16,-1.25,-1.09,2001
Wichita State,MVC,2.12,-5.35,4.22,-1.13,2001
Weber State,Big Sky,-0.8,6.77,-7.94,-1.17,2001
Louisiana Tech,Sun Belt (East),-3.86,-4.9,3.68,-1.22,2001
Houston,CUSA (National),4.91,-2.13,0.81,-1.33,2001
McNeese State,Southland,-8.43,7.54,-8.94,-1.4,2001
Kansas City,Mid-Cont,-3.45,-10.51,8.95,-1.56,2001
Evansville,MVC,1.77,-0.59,-1.09,-1.67,2001
Navy,Patriot,-5.67,2.64,-4.31,-1.67,2001
Murray State,OVC,-1.5,4.99,-6.71,-1.72,2001
New Orleans,Sun Belt (West),-3.82,-5.0,3.15,-1.85,2001
Marist,MAAC,-3.94,-3.78,1.91,-1.87,2001
Cal State Long Beach,Big West,-0.09,4.41,-6.33,-1.91,2001
Idaho State,Big Sky,-1.41,1.62,-3.72,-2.1,2001
Canisius,MAAC,-4.63,3.25,-5.35,-2.11,2001
Chattanooga,Southern (South),-3.79,-1.3,-0.82,-2.12,2001
Green Bay,MW Coll,2.56,-9.58,7.42,-2.16,2001
Texas A&M,Big 12,5.96,1.65,-3.83,-2.18,2001
Northern Arizona,Big Sky,-3.54,-3.03,0.8,-2.23,2001
Princeton,Ivy,-1.88,-14.09,11.56,-2.53,2001
UC Santa Barbara,Big West,-0.74,-0.24,-2.63,-2.86,2001
East Tennessee State,Southern (North),-6.14,-4.02,0.96,-3.06,2001
Akron,MAC (East),1.66,-1.68,-1.41,-3.09,2001
Pennsylvania,Ivy,-2.72,-4.92,1.82,-3.1,2001
Duquesne,A-10,3.96,1.31,-4.45,-3.14,2001
Southeast Missouri State,OVC,-5.09,-4.93,1.38,-3.55,2001
Air Force,MWC,1.99,-11.61,8.05,-3.56,2001
Youngstown State,Mid-Cont,-4.11,-1.64,-2.01,-3.65,2001
Hampton,MEAC,-10.6,2.25,-5.91,-3.66,2001
Winthrop,Big South,-7.8,-9.76,6.03,-3.73,2001
Monmouth,NEC,-8.86,-6.76,2.94,-3.82,2001
San Francisco,WCC,0.81,-2.6,-1.27,-3.87,2001
Drexel,AEC,-5.43,0.83,-4.89,-4.06,2001
Samford,TAAC,-6.15,-9.71,5.64,-4.08,2001
Arkansas State,Sun Belt (East),-2.75,-0.35,-3.87,-4.21,2001
East Carolina,CAA,-3.16,1.87,-6.11,-4.24,2001
Wofford,Southern (South),-1.97,-3.55,-0.88,-4.43,2001
Rider,MAAC,-4.97,-1.7,-2.87,-4.58,2001
Maine,AEC,-6.51,2.68,-7.36,-4.68,2001
Montana,Big Sky,-2.06,-1.3,-3.52,-4.82,2001
Troy,TAAC,-5.9,0.8,-5.63,-4.83,2001
Niagara,MAAC,-3.62,1.12,-6.1,-4.98,2001
UNC Greensboro,Southern (North),-5.85,-0.23,-4.79,-5.02,2001
James Madison,CAA,-1.85,-5.48,0.42,-5.06,2001
Northern Iowa,MVC,2.24,-9.21,4.01,-5.2,2001
IUPUI,Mid-Cont,-3.34,-3.86,-1.38,-5.23,2001
Boston University,AEC,-5.83,-6.73,1.43,-5.3,2001
Virginia Tech,Big East (East),3.82,-3.37,-2.0,-5.37,2001
Maryland-Baltimore County,NEC,-9.66,1.93,-7.46,-5.53,2001
Portland,WCC,0.53,-3.55,-2.09,-5.64,2001
Tulane,CUSA (National),4.89,3.46,-9.21,-5.75,2001
William & Mary,CAA,-2.43,-9.25,3.5,-5.75,2001
St. Francis (NY),NEC,-8.62,3.25,-9.01,-5.76,2001
Jacksonville,TAAC,-8.31,-6.87,1.05,-5.83,2001
Wagner,NEC,-9.87,6.5,-12.36,-5.87,2001
Stetson,TAAC,-7.98,-0.26,-5.73,-5.98,2001
Oakland,Mid-Cont,-1.04,3.86,-10.13,-6.27,2001
Rhode Island,A-10,4.28,-0.11,-6.27,-6.38,2001
Texas-Rio Grande Valley,Ind,-2.41,-0.04,-6.37,-6.41,2001
Fairfield,MAAC,-3.51,0.27,-6.7,-6.44,2001
Georgia Southern,Southern (South),-5.5,3.09,-9.66,-6.57,2001
Loyola (IL),MW Coll,0.92,-0.18,-6.51,-6.69,2001
Loyola Marymount,WCC,-0.23,-5.75,-1.0,-6.75,2001
Harvard,Ivy,-8.51,-1.4,-5.49,-6.89,2001
The Citadel,Southern (South),-6.01,-6.83,-0.1,-6.93,2001
Western Michigan,MAC (West),0.4,-3.72,-3.45,-7.17,2001
Denver,Sun Belt (West),-1.28,-4.81,-2.47,-7.28,2001
South Carolina State,MEAC,-7.79,-8.88,1.37,-7.51,2001
Tennessee State,OVC,-3.23,5.43,-12.99,-7.56,2001
Radford,Big South,-7.78,-0.27,-7.39,-7.67,2001
Furman,Southern (South),-6.02,-8.71,1.01,-7.7,2001
Mercer,TAAC,-5.52,-5.22,-2.49,-7.7,2001
Sam Houston State,Southland,-9.23,0.42,-8.58,-8.16,2001
Cal Poly,Big West,-1.32,5.75,-13.98,-8.23,2001
Morehead State,OVC,-4.19,-4.86,-3.79,-8.65,2001
Davidson,Southern (North),-3.66,-5.47,-3.29,-8.76,2001
Central Connecticut State,NEC,-10.18,-3.16,-5.63,-8.79,2001
Lafayette,Patriot,-7.45,1.77,-10.6,-8.83,2001
Brown,Ivy,-6.78,0.88,-9.81,-8.92,2001
Alabama State,SWAC,-13.74,-11.39,2.4,-8.99,2001
Buffalo,MAC (East),0.69,-3.74,-5.29,-9.03,2001
Mississippi Valley State,SWAC,-12.87,1.58,-10.7,-9.11,2001
Florida International,Sun Belt (East),-0.68,-12.07,2.92,-9.15,2001
UTSA,Southland,-7.77,-0.21,-9.12,-9.34,2001
Stony Brook,Ind,-6.81,-6.11,-3.31,-9.42,2001
Central Florida,TAAC,-5.25,-2.99,-6.47,-9.46,2001
Yale,Ivy,-5.75,-7.42,-2.07,-9.49,2001
Portland State,Big Sky,-1.22,-3.71,-5.79,-9.5,2001
Belmont,Ind,-5.42,0.41,-10.14,-9.73,2001
UNC Asheville,Big South,-7.67,-5.28,-4.47,-9.75,2001
Tennessee-Martin,OVC,-3.36,-5.88,-4.0,-9.88,2001
Oral Roberts,Mid-Cont,-2.62,-1.31,-8.82,-10.12,2001
Lehigh,Patriot,-8.33,-5.58,-4.72,-10.3,2001
Vermont,AEC,-5.93,-0.69,-9.62,-10.31,2001
American,CAA,-2.81,-13.05,2.72,-10.33,2001
Columbia,Ivy,-7.5,-17.5,6.71,-10.78,2001
Towson,AEC,-7.67,-6.62,-4.22,-10.84,2001
Colgate,Patriot,-8.14,-5.23,-5.62,-10.86,2001
Northwestern State,Southland,-7.81,-3.77,-7.33,-11.1,2001
Fairleigh Dickinson,NEC,-8.45,-7.91,-3.51,-11.42,2001
Eastern Michigan,MAC (West),-0.79,-11.38,-0.06,-11.43,2001
Northern Illinois,MAC (West),0.68,-4.83,-6.65,-11.48,2001
Northeastern,AEC,-4.13,-0.11,-11.81,-11.92,2001
Middle Tennessee,Sun Belt (East),-2.09,-6.58,-5.35,-11.93,2001
Coppin State,MEAC,-9.4,-11.35,-0.69,-12.04,2001
Appalachian State,Southern (North),-4.24,-8.5,-3.64,-12.13,2001
Idaho,Big West,-0.01,-7.83,-4.34,-12.17,2001
Bucknell,Patriot,-6.27,-10.18,-2.01,-12.19,2001
Alcorn State,SWAC,-10.9,-1.63,-10.57,-12.2,2001
UT Arlington,Southland,-8.87,-2.84,-9.64,-12.48,2001
Norfolk State,MEAC,-7.73,-1.09,-11.54,-12.63,2001
Western Illinois,Mid-Cont,-1.69,-1.86,-11.02,-12.87,2001
Nicholls State,Southland,-8.68,-7.56,-5.38,-12.94,2001
Centenary (LA),Ind,-1.5,-10.16,-2.88,-13.05,2001
VMI,Southern (North),-6.42,-6.21,-7.02,-13.23,2001
Cal State Fullerton,Big West,-0.2,-12.17,-1.07,-13.24,2001
Sacramento State,Big Sky,-1.74,-4.37,-8.87,-13.24,2001
Coastal Carolina,Big South,-6.62,-1.4,-11.96,-13.37,2001
Alabama A&M,SWAC,-11.93,-5.3,-8.15,-13.45,2001
Loyola (MD),MAAC,-4.66,-12.95,-0.58,-13.53,2001
Eastern Kentucky,OVC,-2.73,-1.79,-11.81,-13.6,2001
Texas State,Southland,-9.0,-6.9,-6.7,-13.6,2001
Liberty,Big South,-9.7,-10.52,-3.1,-13.62,2001
Saint Peter's,MAAC,-2.04,-3.63,-10.09,-13.72,2001
Stephen F. Austin,Southland,-9.71,-18.61,4.86,-13.76,2001
North Carolina A&T,MEAC,-10.97,-7.25,-6.59,-13.84,2001
Louisiana-Monroe,Southland,-6.93,-3.4,-10.69,-14.09,2001
Saint Francis (PA),NEC,-8.89,-9.28,-5.02,-14.3,2001
Dartmouth,Ivy,-7.34,-9.82,-4.56,-14.38,2001
Cornell,Ivy,-7.52,-10.89,-3.51,-14.4,2001
Long Island University,NEC,-8.57,-8.51,-5.89,-14.4,2001
Jacksonville State,TAAC,-5.7,-9.61,-4.8,-14.41,2001
New Hampshire,AEC,-4.9,-1.28,-13.2,-14.47,2001
Delaware State,MEAC,-10.97,-12.89,-2.23,-15.11,2001
Chicago State,Mid-Cont,-1.28,-8.88,-6.26,-15.14,2001
Western Carolina,Southern (North),-4.35,-8.05,-7.09,-15.14,2001
Southeastern Louisiana,Southland,-8.59,-18.98,3.57,-15.41,2001
Army,Patriot,-7.65,-4.26,-11.46,-15.73,2001
Florida Atlantic,TAAC,-3.79,-3.71,-12.36,-16.06,2001
Robert Morris,NEC,-7.3,-6.93,-9.16,-16.09,2001
Charleston Southern,Big South,-7.06,-10.68,-5.45,-16.14,2001
Southern,SWAC,-14.6,-6.52,-10.08,-16.6,2001
Campbell,TAAC,-7.36,-9.09,-7.66,-16.75,2001
Hartford,AEC,-5.79,-10.28,-6.55,-16.83,2001
Lamar,Southland,-8.96,-12.82,-4.02,-16.84,2001
Quinnipiac,NEC,-9.43,-6.07,-10.79,-16.86,2001
Mount St. Mary's,NEC,-8.63,-12.06,-5.17,-17.24,2001
Morgan State,MEAC,-10.04,-8.11,-9.2,-17.31,2001
North Texas,Sun Belt (West),1.86,0.57,-17.95,-17.38,2001
Bethune-Cookman,MEAC,-10.37,-14.73,-3.09,-17.81,2001
Elon,Big South,-9.17,-11.31,-6.61,-17.91,2001
Maryland-Eastern Shore,MEAC,-9.63,-10.35,-7.86,-18.2,2001
High Point,Big South,-7.98,-14.63,-3.63,-18.26,2001
Saint Mary's (CA),WCC,3.12,-9.58,-8.68,-18.27,2001
Jackson State,SWAC,-10.44,-10.05,-8.39,-18.44,2001
Albany (NY),Ind,-8.66,-6.58,-12.28,-18.86,2001
Sacred Heart,NEC,-7.85,-8.84,-10.8,-19.64,2001
Howard,MEAC,-10.37,-7.24,-12.66,-19.91,2001
Grambling,SWAC,-10.24,-2.37,-18.33,-20.7,2001
Texas Southern,SWAC,-11.04,-12.22,-9.12,-21.35,2001
Florida A&M,MEAC,-10.23,-7.93,-14.95,-22.88,2001
Prairie View,SWAC,-11.25,-7.76,-16.73,-24.49,2001
Arkansas-Pine Bluff,SWAC,-8.35,-15.42,-16.04,-31.46,2001
Duke,ACC,9.16,21.3,7.6,28.91,2002
Cincinnati,CUSA (American),6.76,11.43,13.16,24.59,2002
Kansas,Big 12,9.36,22.92,1.46,24.38,2002
Maryland,ACC,9.35,18.19,5.27,23.46,2002
Florida,SEC (East),8.37,13.8,8.48,22.27,2002
Oklahoma,Big 12,7.69,9.43,11.59,21.02,2002
Oregon,Pac-10,6.94,17.05,2.62,19.67,2002
Illinois,Big Ten,9.94,10.91,8.3,19.2,2002
Indiana,Big Ten,12.08,5.53,13.66,19.19,2002
Kentucky,SEC (East),11.99,9.73,9.43,19.15,2002
Marquette,CUSA (American),4.78,4.38,12.79,17.17,2002
Stanford,Pac-10,9.03,12.66,4.37,17.03,2002
Alabama,SEC (West),7.67,9.52,7.41,16.93,2002
Arizona,Pac-10,12.47,15.87,1.04,16.91,2002
Southern California,Pac-10,8.31,9.9,6.59,16.49,2002
South Carolina,SEC (East),9.79,1.15,15.16,16.32,2002
Ohio State,Big Ten,7.26,8.6,7.54,16.14,2002
NC State,ACC,8.16,6.87,8.96,15.83,2002
Notre Dame,Big East (West),6.14,11.07,4.61,15.67,2002
Connecticut,Big East (East),7.59,8.82,6.57,15.38,2002
Memphis,CUSA (National),4.72,11.43,3.86,15.29,2002
Wake Forest,ACC,10.28,14.28,0.98,15.25,2002
Michigan State,Big Ten,9.61,3.12,11.79,14.91,2002
Texas Tech,Big 12,7.22,10.66,4.06,14.72,2002
Georgia,SEC (East),9.24,10.39,4.29,14.68,2002
Pittsburgh,Big East (West),4.53,3.25,11.43,14.68,2002
Mississippi State,SEC (West),7.34,7.38,7.04,14.43,2002
Oklahoma State,Big 12,6.81,2.62,11.78,14.4,2002
Texas,Big 12,9.98,11.33,2.98,14.32,2002
Missouri,Big 12,6.8,11.56,2.66,14.22,2002
Xavier,A-10 (West),4.1,4.59,9.32,13.91,2002
Gonzaga,WCC,0.75,8.89,5.01,13.9,2002
Kent State,MAC (East),2.1,5.71,7.97,13.67,2002
Charlotte,CUSA (American),8.69,7.56,6.06,13.62,2002
Mississippi,SEC (West),6.86,4.5,9.11,13.62,2002
Virginia,ACC,7.93,9.98,3.26,13.24,2002
Georgetown,Big East (West),4.2,10.97,2.2,13.16,2002
