2009-2010 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
246,UL Lafayette,16-Dec,0.4515,9.6,12.4,0.4364,0.4454 (280),0.4787,272,0.4565,,
247,Army,13-15,0.4488,11,12.2,0.4741,0.4338 (303),0.4534,310,0.4403,,
248,Georgia St,20-Nov,0.4485,8.2,17.2,0.3228,0.4883 (187),0.4945,182,0.4904,,
249,UNC Greensboro,23-Aug,0.4482,7.6,23,0.2484,0.5249 (121),0.4947,130,0.5149,,
250,Evansville,21-Aug,0.4482,6.4,20.2,0.2406,0.5171 (129),0.5179,125,0.5174,,
,,,,,,,,,,,,
,,,,,,,,,,,,
251,CS Northridge,21-Nov,0.4466,9,18.2,0.3309,0.4886 (184),0.4783,192,0.4852,,
252,Columbia,17-Nov,0.4466,9.8,15,0.3952,0.4671 (230),0.457,252,0.4637,,
253,Hawai'i,20-Sep,0.4447,5.4,20.8,0.2061,0.5378 (103),0.497,117,0.5242,,
254,High Point,13-15,0.4442,10.2,9.8,0.51,0.4015 (331),0.464,333,0.4223,,
255,UC Riverside,17-Oct,0.444,9.2,15,0.3802,0.4562 (256),0.4835,245,0.4653,,
256,Cal Poly,19-Dec,0.4432,11.6,16.6,0.4113,0.4389 (293),0.4836,278,0.4538,,
257,Brown,20-Sep,0.4431,10.2,19.6,0.3423,0.4791 (206),0.472,213,0.4767,,
258,Bucknell,14-17,0.4413,12.8,14.6,0.4672,0.4123 (327),0.4733,320,0.4326,,
259,Bethune Cookman,14-16,0.4412,12.8,13.2,0.4923,0.4127 (326),0.4472,329,0.4242,,
260,Tennessee St,23-Sep,0.4407,8.2,19,0.3015,0.4893 (182),0.4826,188,0.4871,,
,,,,,,,,,,,,
,,,,,,,,,,,,
261,Northern Illinois,20-Oct,0.4385,8.4,17.6,0.3231,0.4687 (225),0.4933,212,0.4769,,
262,Samford,20-Aug,0.4382,8,18.8,0.2985,0.4800 (203),0.4941,195,0.4847,,
263,Sacred Heart,14-15,0.4379,12,12.2,0.4959,0.3991 (334),0.4576,334,0.4186,,
264,Towson,21-Oct,0.4377,8.8,20.2,0.3034,0.4700 (220),0.5073,204,0.4824,,
265,Navy,13-17,0.4377,10.2,13.8,0.425,0.4363 (298),0.4532,305,0.4419,,
266,Norfolk St,19-Nov,0.4367,10.6,16.2,0.3955,0.4483 (276),0.4547,285,0.4504,,
267,Yale,19-Nov,0.4364,10.6,17.4,0.3786,0.4495 (274),0.4679,274,0.4556,,
268,North Dakota St,18-Sep,0.4354,9.4,17.6,0.3481,0.4600 (247),0.4734,249,0.4645,,
269,Elon,23-Aug,0.434,8.4,21,0.2857,0.4835 (197),0.4832,198,0.4834,,
270,Fairleigh Dickinson,21-Nov,0.4325,9.8,19,0.3403,0.4707 (217),0.4481,254,0.4632,,
,,,,,,,,,,,,
,,,,,,,,,,,,
271,Youngstown St,22-Jun,0.4324,5.2,20.4,0.2031,0.5144 (131),0.4977,147,0.5089,,
272,Prairie View A&M,14-Dec,0.4318,11.2,11.2,0.5,0.3878 (339),0.4517,338,0.4091,,
273,UL Monroe,19-Oct,0.4315,8.8,16.6,0.3465,0.4529 (268),0.4739,264,0.4599,,
274,Holy Cross,22-Sep,0.4313,8.2,19.2,0.2993,0.4833 (198),0.4593,221,0.4753,,
275,Alabama St,13-15,0.4312,13,11.8,0.5242,0.3770 (341),0.4465,341,0.4002,,
276,UC Irvine,18-Dec,0.4311,10,15.6,0.3906,0.4277 (311),0.4784,301,0.4446,,
277,Nicholls St,18-Aug,0.4302,6.4,14.4,0.3077,0.4687 (224),0.4758,234,0.4711,,
278,Furman,17-Nov,0.4295,10.2,15.8,0.3923,0.4179 (322),0.4898,306,0.4419,,
279,Eastern Washington,21-Jul,0.4295,5.8,18.2,0.2417,0.5008 (161),0.4747,178,0.4921,,
280,Western Illinois,17-Oct,0.4285,10,16.2,0.3817,0.4322 (304),0.4677,302,0.4441,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
281,UMKC,18-Oct,0.4279,10,16.8,0.3731,0.4320 (305),0.4744,296,0.4462,,
282,Tulane,22-Aug,0.4278,6.8,22.4,0.2329,0.4855 (191),0.5074,176,0.4928,,
283,Hampton,14-18,0.4269,14,16.8,0.4545,0.3929 (337),0.4675,335,0.4177,,
284,Kennesaw St,20-Nov,0.4268,9.8,17.6,0.3577,0.4372 (297),0.4753,287,0.4499,,
285,Charleston Southern,17-Sep,0.4264,7,12.6,0.3571,0.4393 (292),0.4701,289,0.4495,,
286,Longwood,19-Aug,0.4261,7.2,14.6,0.3303,0.4580 (252),0.4582,269,0.4581,,
287,St. Francis (PA),19-Nov,0.4252,8.2,15.4,0.3475,0.4467 (278),0.4601,283,0.4511,,
288,Georgia So,23-Jul,0.4242,5,19,0.2083,0.5003 (165),0.488,168,0.4962,,
289,Monmouth,19-Dec,0.4242,10.4,17,0.3796,0.4302 (308),0.4569,312,0.4391,,
290,Colgate,19-Oct,0.423,8.4,17,0.3307,0.4523 (271),0.4568,279,0.4538,,
,,,,,,,,,,,,
,,,,,,,,,,,,
291,UIC,22-Jul,0.4224,5,18.8,0.2101,0.4851 (193),0.5093,174,0.4932,,
292,Lamar,18-Oct,0.4216,6.8,14.8,0.3148,0.4497 (273),0.472,271,0.4571,,
293,Winston Salem St,17-Aug,0.4215,8,15,0.3478,0.4375 (295),0.4632,297,0.4461,,
294,St. Francis (NY),18-Nov,0.4193,11.4,17.2,0.3986,0.4084 (329),0.4619,328,0.4262,,
295,American,20-Nov,0.4193,9.8,18.4,0.3475,0.4309 (307),0.4679,303,0.4432,,
296,Florida Intl,25-Jun,0.4174,6,22.6,0.2098,0.4937 (174),0.4726,190,0.4866,,
297,Jacksonville St,19-Sep,0.4149,6.2,17,0.2672,0.4531 (266),0.486,250,0.4641,,
298,North Carolina A&T,22-Aug,0.4142,7.6,18.4,0.2923,0.4532 (264),0.4579,276,0.4548,,
299,Pennsylvania,22-Jun,0.4136,6,21.2,0.2206,0.4731 (210),0.4874,210,0.4779,,
300,Albany,25-Jul,0.4132,6.6,22.6,0.226,0.4805 (202),0.4657,219,0.4756,,
,,,,,,,,,,,,
,,,,,,,,,,,,
301,UA Little Rock,22-Jun,0.4127,3.6,19.2,0.1579,0.5070 (153),0.4787,166,0.4976,,
302,Sacramento St,21-Jul,0.4126,7,19.4,0.2652,0.4561 (257),0.4729,256,0.4617,,
303,Pepperdine,23-Jun,0.4119,4.4,22.2,0.1654,0.4866 (189),0.509,173,0.4941,,
304,Hartford,22-Aug,0.4118,7.2,20,0.2647,0.4552 (261),0.472,261,0.4608,,
305,Idaho St,22-May,0.4112,3.8,18,0.1743,0.4886 (185),0.4933,184,0.4901,,
306,Fordham,26-Feb,0.4108,1.2,24.4,0.0469,0.5404 (98),0.5154,102,0.5321,,
307,SC Upstate,23-Jun,0.4107,6,21,0.2222,0.4717 (213),0.4771,226,0.4735,,
308,UM Eastern Shore,21-Nov,0.4104,10.2,18.6,0.3542,0.4182 (320),0.4511,323,0.4292,,
309,Central Connecticut,18-Dec,0.4093,10,14.4,0.4098,0.3916 (338),0.4442,337,0.4092,,
310,VMI,19-Jun,0.4092,5.2,16.2,0.243,0.4656 (233),0.4624,248,0.4646,,
,,,,,,,,,,,,
,,,,,,,,,,,,
311,Rice,23-Jul,0.4064,5,22.2,0.1838,0.4689 (223),0.5038,207,0.4806,,
312,SE Missouri St,23-Jun,0.4031,5.6,22.2,0.2014,0.4623 (242),0.4863,237,0.4703,,
313,Northwestern St,18-Jul,0.4027,6.6,15.6,0.2973,0.4214 (316),0.4708,313,0.4378,,
314,Centenary,21-Jun,0.4024,6,20.2,0.229,0.4531 (265),0.4745,262,0.4603,,
315,McNeese St,20-Jul,0.4016,6.6,16.8,0.2821,0.4274 (312),0.4698,308,0.4415,,
316,Savannah St,15-Jul,0.3999,5.8,11.8,0.3295,0.4010 (333),0.4679,332,0.4233,,
317,CS Bakersfield,22-Jul,0.3983,5.8,18,0.2437,0.4346 (300),0.4802,288,0.4498,,
318,Gardner Webb,21-May,0.3982,5.4,20.6,0.2077,0.4547 (262),0.4756,257,0.4617,,
319,Florida A&M,22-Aug,0.3959,7.2,19.2,0.2727,0.4231 (314),0.4648,315,0.437,,
320,Central Arkansas,20-Jun,0.3957,6,18.4,0.2459,0.4378 (294),0.4611,299,0.4456,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
321,Florida Gulf Coast,21-Aug,0.3952,7.2,19,0.2748,0.4192 (319),0.4677,318,0.4354,,
322,SIU-E,23-Mar,0.3949,3.8,21,0.1532,0.4829 (200),0.4603,220,0.4754,,
323,New Orleans,22-Jun,0.3917,5.2,20.4,0.2031,0.4452 (281),0.4731,277,0.4545,,
324,Toledo,28-Mar,0.3912,1.8,26.4,0.0638,0.5004 (163),0.5004,161,0.5004,,
325,Miss Valley St,23-Aug,0.391,7.2,18.2,0.2835,0.4155 (323),0.4495,327,0.4268,,
326,Stetson,22-May,0.3899,4.6,20.4,0.184,0.4529 (267),0.47,267,0.4586,,
327,Houston Baptist,21-Dec,0.3898,11.2,18.6,0.3758,0.3744 (343),0.4344,343,0.3944,,
328,Southern Utah,22-May,0.3895,3.4,20,0.1453,0.4691 (221),0.4745,235,0.4709,,
329,Presbyterian,26-Apr,0.3858,3.6,21.6,0.1429,0.4600 (246),0.4803,243,0.4668,,
330,Howard,25-Jul,0.3849,6.2,21,0.2279,0.4296 (310),0.4525,314,0.4372,,
,,,,,,,,,,,,
,,,,,,,,,,,,
331,Wagner,26-May,0.3808,5,24.8,0.1678,0.4589 (250),0.4379,281,0.4519,,
332,Alabama A&M,15-Aug,0.3806,7.2,13.4,0.3495,0.3684 (344),0.4362,345,0.391,,
333,UMBC,26-Apr,0.3805,5.6,26.4,0.175,0.4420 (287),0.463,291,0.449,,
334,Marist,29-Jan,0.3784,0.6,27.4,0.0214,0.5052 (155),0.4819,167,0.4974,,
335,Dartmouth,23-Apr,0.3782,2.4,21.8,0.0992,0.4791 (208),0.4557,233,0.4713,,
336,UT Pan American,27-Jun,0.3761,5.6,22.6,0.1986,0.4310 (306),0.444,319,0.4353,,
337,Coppin St,22-May,0.3655,3.8,18.4,0.1712,0.4150 (324),0.4609,322,0.4303,,
338,UT Martin,25-Feb,0.3635,1.2,22.2,0.0513,0.4584 (251),0.4859,241,0.4676,,
339,North Dakota,22-Jun,0.3617,6,21.2,0.2206,0.3939 (336),0.4382,339,0.4087,,
340,Grambling St,21-Jun,0.3611,5.6,18.6,0.2314,0.3875 (340),0.438,340,0.4043,,
,,,,,,,,,,,,
,,,,,,,,,,,,
341,NJIT,21-Jul,0.3561,5.4,17,0.2411,0.3758 (342),0.4318,342,0.3945,,
342,Utah Valley,18-Aug,0.3498,5.2,14.8,0.26,0.3518 (347),0.4355,347,0.3797,,
343,Southern U,24-May,0.3488,3.8,21.2,0.152,0.4027 (330),0.4377,336,0.4144,,
344,Alcorn St,Feb-29,0.3435,1.2,25,0.0458,0.4415 (288),0.4452,304,0.4427,,
345,Chicago St,22-Jun,0.3433,4.4,16.8,0.2075,0.3629 (346),0.4399,346,0.3886,,
346,Bryant,29-Jan,0.3433,1.4,27,0.0493,0.4338 (302),0.4563,309,0.4413,,
347,NCCU,22-Mar,0.3413,1.8,17.2,0.0947,0.3973 (335),0.476,331,0.4235,,
"© 1994-2010 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,,,,
