2010-2011 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
247,Louisiana Tech,20-Nov,0.4496,9,16.8,0.3488,0.4821 (197),0.4852,193,0.4831,,
248,CS Northridge,18-Dec,0.4495,12,16,0.4286,0.4451 (277),0.4792,267,0.4565,,
249,Jackson St,15-15,0.4479,15,11.8,0.5597,0.3916 (337),0.4484,338,0.4106,,
250,Miss Valley St,13-19,0.4475,12.2,14.2,0.4621,0.4358 (303),0.4565,314,0.4427,,
,,,,,,,,,,,,
,,,,,,,,,,,,
251,Utah Valley,15-11,0.4468,13.8,9,0.6053,0.3786 (343),0.4248,343,0.394,,
252,Fordham,21-Jul,0.4452,5,21,0.1923,0.5422 (83),0.5042,96,0.5295,,
253,Bryant,21-Aug,0.4442,7.6,19.4,0.2815,0.5082 (145),0.4788,160,0.4984,,
254,Auburn,20-Oct,0.4436,7.6,21.6,0.2603,0.4964 (163),0.5215,147,0.5047,,
255,Illinois St,19-Dec,0.4433,8.8,18.2,0.3259,0.4748 (214),0.4976,197,0.4824,,
256,Savannah St,18-Aug,0.4432,8.8,14,0.386,0.4473 (268),0.4921,247,0.4622,,
257,Alabama St,15-17,0.4429,13.4,12.6,0.5154,0.4106 (329),0.4349,332,0.4187,,
258,Montana St,18-Nov,0.4425,9,14,0.3913,0.4544 (248),0.47,256,0.4596,,
259,St. Francis (PA),21-Sep,0.4421,7,16.6,0.2966,0.4956 (167),0.4804,179,0.4905,,
260,Wake Forest,24-Aug,0.4419,5.6,24.4,0.1867,0.5274 (109),0.5262,99,0.527,,
,,,,,,,,,,,,
,,,,,,,,,,,,
261,High Point,19-Oct,0.4419,8.4,15.8,0.3471,0.4752 (211),0.4699,226,0.4735,,
262,Eastern Kentucky,13-16,0.4417,13,14.4,0.4745,0.4121 (327),0.4682,324,0.4308,,
263,Gardner Webb,21-Sep,0.4416,8.6,16.6,0.3413,0.4700 (225),0.4852,220,0.4751,,
264,Wyoming,21-Aug,0.4415,4.8,19.4,0.1983,0.5179 (127),0.5317,112,0.5225,,
265,UC Riverside,19-Oct,0.4411,9.6,16.6,0.3664,0.4654 (232),0.4672,237,0.466,,
266,Troy,21-Jul,0.4399,6.2,18.2,0.2541,0.5135 (136),0.4783,152,0.5018,,
267,Southern Utah,18-Oct,0.4391,9.6,17.6,0.3529,0.4672 (230),0.469,234,0.4678,,
268,Loyola Marymount,21-Sep,0.4388,7.4,19,0.2803,0.4985 (159),0.4779,178,0.4917,,
269,Elon,17-Nov,0.4383,11,16.2,0.4044,0.4328 (308),0.4831,296,0.4496,,
270,Norfolk St,20-Dec,0.4375,10.4,16,0.3939,0.4537 (251),0.4488,286,0.4521,,
,,,,,,,,,,,,
,,,,,,,,,,,,
271,North Dakota,15-14,0.4366,13.8,11.2,0.552,0.3808 (342),0.4327,342,0.3981,,
272,UT Arlington,16-Sep,0.4361,8.6,12.8,0.4019,0.4401 (295),0.4623,304,0.4475,,
273,Sacred Heart,18-Nov,0.4335,11.4,16.8,0.4043,0.4246 (320),0.4805,313,0.4432,,
274,New Hampshire,18-Nov,0.4329,10.2,15.2,0.4016,0.4282 (314),0.4738,312,0.4434,,
275,Portland St,13-16,0.4326,10.2,13.6,0.4286,0.4177 (324),0.4662,322,0.4339,,
276,South Alabama,16-Oct,0.4325,9.2,14.8,0.3833,0.4336 (306),0.4795,299,0.4489,,
277,Hartford,20-Nov,0.4325,9,17.2,0.3435,0.4577 (244),0.4712,248,0.4622,,
278,NCCU,15-Nov,0.4325,11.4,12.6,0.475,0.3938 (335),0.4675,333,0.4183,,
279,Army,19-Oct,0.4317,11.6,18.2,0.3893,0.4392 (297),0.4592,308,0.4459,,
280,Campbell,19-Nov,0.431,10.2,17.8,0.3643,0.4423 (284),0.4751,278,0.4532,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
281,Texas A&M CC,21-Jul,0.4303,6.2,19,0.246,0.4977 (160),0.4799,176,0.4918,,
282,Florida Gulf Coast,20-Oct,0.4298,9.2,18.4,0.3333,0.4540 (250),0.478,250,0.462,,
283,Florida Intl,19-Sep,0.4282,7.4,17.4,0.2984,0.4735 (216),0.4676,228,0.4715,,
284,Samford,19-Oct,0.4273,10.4,18.6,0.3586,0.4410 (291),0.4684,292,0.4501,,
285,Holy Cross,21-Aug,0.4271,8,19.8,0.2878,0.4725 (219),0.4754,225,0.4735,,
286,Monmouth,21-Sep,0.4267,7.8,20.6,0.2746,0.4795 (203),0.4732,213,0.4774,,
287,Towson,26-Apr,0.4265,4,25.6,0.1351,0.5348 (97),0.5013,109,0.5236,,
288,Niagara,23-Sep,0.4261,7.4,20.2,0.2681,0.4730 (217),0.4903,207,0.4788,,
289,Eastern Washington,20-Aug,0.426,6.4,16.8,0.2759,0.4798 (202),0.4685,217,0.476,,
290,Seattle,20-Nov,0.4259,10.2,17.2,0.3723,0.4296 (312),0.4721,311,0.4438,,
,,,,,,,,,,,,
,,,,,,,,,,,,
291,UT Martin,21-Oct,0.4257,9.6,18.6,0.3404,0.4456 (275),0.4713,275,0.4542,,
292,UIC,24-Jun,0.4252,5.2,22,0.1912,0.5002 (157),0.5093,149,0.5032,,
293,Manhattan,25-Jun,0.425,6,24.6,0.1961,0.5056 (148),0.4926,154,0.5013,,
294,The Citadel,22-Aug,0.4248,7.6,20.4,0.2714,0.4775 (208),0.4728,218,0.4759,,
295,Youngstown St,21-Jul,0.4245,4.2,18.2,0.1875,0.5014 (154),0.5078,148,0.5035,,
296,UC Irvine,19-Dec,0.4239,10.4,16.6,0.3852,0.4133 (325),0.4839,319,0.4368,,
297,Lamar,17-Sep,0.4239,9,14.6,0.3814,0.4278 (315),0.4585,318,0.438,,
298,UNC Greensboro,24-Jul,0.4233,7,24.4,0.2229,0.4907 (181),0.4889,182,0.4901,,
299,Navy,20-Oct,0.4218,9.6,18.4,0.3429,0.4404 (292),0.4634,302,0.4481,,
300,Binghamton,23-Aug,0.4208,8.4,22.2,0.2745,0.4668 (231),0.4751,231,0.4696,,
,,,,,,,,,,,,
,,,,,,,,,,,,
301,UC Davis,20-Aug,0.4196,7.2,18.4,0.2813,0.4634 (234),0.4702,238,0.4657,,
302,Idaho St,20-Jul,0.4193,5.4,16.4,0.2477,0.4784 (206),0.4726,216,0.4765,,
303,CS Fullerton,20-Oct,0.4171,9.2,17.2,0.3485,0.4261 (316),0.4679,316,0.44,,
304,Stetson,22-Aug,0.4169,7.2,20,0.2647,0.4606 (236),0.4817,235,0.4676,,
305,Marist,27-Jun,0.4159,4.8,25,0.1611,0.5083 (144),0.4858,157,0.5008,,
306,SE Missouri St,22-Sep,0.4151,9,20,0.3103,0.4433 (280),0.4636,294,0.4501,,
307,Central Michigan,21-Sep,0.4131,8.2,18.6,0.306,0.4346 (305),0.4774,300,0.4488,,
308,Alabama A&M,15-Oct,0.4119,9.2,12.6,0.422,0.3958 (334),0.4339,339,0.4085,,
309,Delaware St,21-Jul,0.4095,6.6,16.2,0.2895,0.4439 (278),0.4607,297,0.4495,,
310,CS Bakersfield,19-Sep,0.409,7,17.8,0.2823,0.4390 (298),0.4756,289,0.4512,,
,,,,,,,,,,,,
,,,,,,,,,,,,
311,Dartmouth,23-May,0.4078,4.6,20.2,0.1855,0.4831 (192),0.4797,200,0.482,,
312,SC Upstate,25-May,0.4071,4.6,22.6,0.1691,0.4861 (187),0.4872,185,0.4865,,
313,Colgate,23-Jul,0.4062,7.4,21,0.2606,0.4490 (262),0.4662,272,0.4547,,
314,Eastern Illinois,20-Jul,0.4059,7.4,19.2,0.2782,0.4458 (274),0.4538,301,0.4485,,
315,NJIT,15-Nov,0.4055,10.6,13.4,0.4417,0.3734 (344),0.4337,344,0.3935,,
316,Grambling St,21-Dec,0.4051,12.4,18.2,0.4052,0.3868 (340),0.4416,340,0.4051,,
317,South Dakota,14-15,0.405,11.6,11.4,0.5043,0.3365 (345),0.4427,345,0.3719,,
318,Northern Illinois,21-Aug,0.404,7.2,19,0.2748,0.4311 (310),0.4789,306,0.447,,
319,Longwood,19-Aug,0.4017,6,15,0.2857,0.4251 (319),0.4708,315,0.4403,,
320,San Diego,24-Apr,0.4013,2.8,22.8,0.1094,0.4936 (172),0.5087,159,0.4986,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
321,Kennesaw St,23-Jul,0.4004,5.8,20.6,0.2197,0.4516 (256),0.4786,253,0.4606,,
322,UMBC,25-May,0.3972,4.6,23.4,0.1643,0.4779 (207),0.4688,221,0.4749,,
323,UM Eastern Shore,22-Jul,0.3926,5.4,17.6,0.2348,0.4420 (287),0.4518,309,0.4452,,
324,Eastern Michigan,22-Jun,0.3878,4.4,19.2,0.1864,0.4455 (276),0.4737,271,0.4549,,
325,UL Monroe,24-May,0.3871,5,22.4,0.1825,0.4481 (265),0.4695,270,0.4553,,
326,UA Pine Bluff,24-Jul,0.3867,5.8,18,0.2437,0.4252 (318),0.4527,321,0.4344,,
327,Fairleigh Dickinson,24-May,0.3865,4.6,23.2,0.1655,0.4510 (257),0.4784,254,0.4601,,
328,SIU-E,21-Apr,0.3846,3.2,19,0.1441,0.4696 (226),0.4551,239,0.4648,,
329,Florida A&M,20-Aug,0.3846,5.6,14.8,0.2745,0.4047 (332),0.4545,330,0.4213,,
330,Sacramento St,21-May,0.3818,3.8,18.2,0.1727,0.4461 (271),0.4622,288,0.4514,,
,,,,,,,,,,,,
,,,,,,,,,,,,
331,Jacksonville St,25-Apr,0.376,4.4,22.6,0.163,0.4400 (296),0.4613,305,0.4471,,
332,Howard,24-Jun,0.3733,3.6,22.4,0.1385,0.4502 (260),0.4542,287,0.4515,,
333,Radford,24-Feb,0.3715,1.2,20.8,0.0545,0.4725 (218),0.4865,214,0.4772,,
334,Prairie View A&M,22-Jul,0.3715,5.4,16.8,0.2432,0.3934 (336),0.4558,337,0.4142,,
335,South Carolina St,22-Jun,0.3689,4.8,19.2,0.2,0.4126 (326),0.4506,329,0.4252,,
336,Western Illinois,23-Apr,0.3689,3.6,21.4,0.144,0.4328 (309),0.4659,310,0.4438,,
337,Alcorn St,24-Apr,0.3663,4,20,0.1667,0.4230 (321),0.4526,323,0.4329,,
338,Toledo,28-Mar,0.3642,1.8,26.4,0.0638,0.4557 (245),0.4818,241,0.4644,,
339,Chicago St,25-Apr,0.3604,3.6,20.2,0.1513,0.4207 (322),0.4489,325,0.4301,,
340,Central Arkansas,24-Feb,0.3584,1.6,22,0.0678,0.4537 (252),0.4584,269,0.4553,,
,,,,,,,,,,,,
,,,,,,,,,,,,
341,Georgia So,27-Feb,0.3522,1.2,25.4,0.0451,0.4419 (288),0.4798,274,0.4546,,
342,Centenary,27-Jan,0.3478,0.6,23.4,0.025,0.4471 (269),0.4717,268,0.4553,,
343,UT Pan American,25-Mar,0.3409,2.2,23,0.0873,0.4206 (323),0.4351,328,0.4255,,
344,Southern U,24-Mar,0.3391,2.6,22.4,0.104,0.4069 (331),0.4386,334,0.4175,,
345,Houston Baptist,24-May,0.3349,3.4,21.2,0.1382,0.3853 (341),0.4308,341,0.4004,,
"© 1994-2011 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,,,,
